Datetime,User,Tweet,Clean_Tweet,Sentiment
2025-04-25 19:40:43+00:00,377321639,Appreciate this post that explains the importance of #SpeakYourMind…supporting mental health. Thank you @rohrbachsci for always being a great teacher! @AHS_Orioles @OrioleTweets https://t.co/A50wlCddYo,appreciate post explains importance speakyourmind supporting mental health thank always great teacher,Positive
2025-04-25 19:40:40+00:00,1070053909383782400,"Halsin is my support for mental health,Haarlep for physical https://t.co/naYazLkX0d",halsin support mental health haarlep physical,Positive
2025-04-25 19:40:20+00:00,1089608334465007618,@Blodeuedd2 @Lab4IndyWales What about people with mental health issues who hate hearing loud music played on the train? This works both ways,people mental health issues hate hearing loud music played train works ways,Negative
2025-04-25 19:40:13+00:00,1455147240,"Cameco’s Blind River Charity Golf Tournament is 85% SOLD!

On May 23, join us for a fun day on the course in support of the Cameco Fund for Mental Health and mental health initiatives in the Blind River area.

Register today: https://t.co/a74EkGL7p3 https://t.co/Mu4veutm8q",cameco blind river charity golf tournament 85 sold may 23 join us fun day course support cameco fund mental health mental health initiatives blind river area register today,Positive
2025-04-25 19:40:08+00:00,1672840556039266306,"@ziucism1 @Abby_DrawZZZ Its people like you is reason she may have poor mental health

Also no meed to be a racist",people like reason may poor mental health also meed racist,Negative
2025-04-25 19:39:59+00:00,558284323,Usc would be the school to make a face ice bucket challenge for mental health,usc would school make face ice bucket challenge mental health,Positive
2025-04-25 19:39:57+00:00,253688871,"This expansion will free up space in the emergency department and connect more people in Guelph and the surrounding communities to enhanced mental health and addictions support services, close to home.

https://t.co/1VrGlTn3AM",expansion free space emergency department connect people guelph surrounding communities enhanced mental health addictions support services close home,Positive
2025-04-25 19:39:56+00:00,253688871,Construction is underway on the phased expansion at Guelph General Hospital. Ontario is investing over $21 million to expand and relocate the hospital’s emergency mental health and addictions services unit into its own state-of-the-art space within the hospital. https://t.co/ApLVGP0TA0,construction underway phased expansion guelph general hospital ontario investing 21 million expand relocate hospital emergency mental health addictions services unit state art space within hospital,Negative
2025-04-25 19:39:54+00:00,1574373667617792000,"@quantumdot3232 @jakeshieldsajj Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:39:51+00:00,3869207532,This is what unemployment does to you guys focus on your career warna mental health issues ho ajte hai aur admi aisi bate karne lagta hai https://t.co/GyEmeo8UxH,unemployment guys focus career warna mental health issues ho ajte hai aur admi aisi bate karne lagta hai,Negative
2025-04-25 19:39:41+00:00,96832900,"@javid_lab @DrNeilStone I agree that mortality is a useful measure and perhaps the most statistically reliable, but disagree that it is a good measure of the quality of health (say as compared to childhood obesity and mental health). And yes, investment in health research can only be a positive step.",agree mortality useful measure perhaps statistically reliable disagree good measure quality health say compared childhood obesity mental health yes investment health research positive step,Positive
2025-04-25 19:39:40+00:00,237316870,he did it for my sanzu's mental health https://t.co/tdkich0X4F,sanzu mental health,Neutral
2025-04-25 19:39:40+00:00,1574373667617792000,"@armedxfit Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:39:39+00:00,84706741,"@NotHoodlum And Trump thought his tariffs wouldn't hurt anyone.

I guess he FAFO'd.

As far as Fentanyl, why not fix the consumption end, not supply.  Your broken healthcare system drives people to cheap Fent after getting addicted to prescription opioids, or not getting mental health care",trump thought tariffs hurt anyone guess fafo far fentanyl fix consumption end supply broken healthcare system drives people cheap fent getting addicted prescription opioids getting mental health care,Negative
2025-04-25 19:39:38+00:00,1504549582193278980,"@israelUSAforeve Bastard.

https://t.co/ZEsrimfbUv",bastard,Negative
2025-04-25 19:39:32+00:00,2233075224,"📢 DYK? @PCORI released a road map for using the PCORnet® infrastructure to accelerate research that improves health care for people with mental and behavioral health conditions. Explore the report https://t.co/mDqxfcpYXs
#MentalHealth #BehavioralHealth https://t.co/6P2vEtGYyl",dyk released road map using pcornet infrastructure accelerate research improves health care people mental behavioral health conditions explore report mentalhealth behavioralhealth,Positive
2025-04-25 19:39:28+00:00,1896652758138388480,@JamesEsses Actually the mental health communities were some of the first to fall 🤫,actually mental health communities first fall,Neutral
2025-04-25 19:39:25+00:00,1670359214005395457,"@TheMandyGall Christy has by his own admission, mental health issues.",christy admission mental health issues,Neutral
2025-04-25 19:39:22+00:00,1724137992862810112,"@BGatesIsaPyscho Bloody lunatic should be sectioned under the mental
Health act",bloody lunatic sectioned mental health act,Negative
